1A2K	1053.46	-1984.31	14.5	10	12016.6	9886.7	6.823908741	1A2K	-207.892	1A2K	-26.24	13.75	-42.95	-18.48	13	4.3557	1A2K	-3.21544641	80.3829669
1ACB	1389.08	-1793.05	10.5	11	10665.0	4239.3	9.698970004	1ACB	-214.275	1ACB	-1.45	10.40	-5.71	1.08	33	10.7773	1ACB	-16.5736043	82.3645641
1AHW	1085.07	-2630.17	28.5	20	19035.0	11117.0	8.468521083	1AHW	-190.895	1AHW	-22.86	14.13	-38.20	-15.64	41	13.7307	1AHW	18.9574433	179.783245
1AK4	809.109	-1164.22	9.5	6	7634.0	8728.4	4.795880017	1AK4	-144.440	1AK4	-18.39	5.85	-29.91	-14.15	11	3.56986	1AK4	-4.80064871	38.8444065
1AKJ	846.756	-3046.04	14.5	15	19716.6	11644.5	3.899629455	1AKJ	-174.440	1AKJ	-19.95	30.51	-33.20	-7.55	24	8.00055	1AKJ	14.6792191	227.861362
1ATN	1345.51	-2187.71	15.5	9	16806.6	10478.2	8.698970004	1ATN	-241.854	1ATN	-32.01	16.31	-51.53	-22.41	35	10.9764	1ATN	-10.9867147	86.5664937
1AVX	1486.92	-2379.28	17	11	9413.9	8746.2	9.318758763	1AVX	-214.721	1AVX	-15.82	14.46	-27.82	-9.73	30	9.87232	1AVX	9.02401635	114.167888
1AVZ	923.926	-1166.59	10	7	6237.1	3841.1	4.801342913	1AVZ	-140.231	1AVZ	-2.24	7.47	-6.77	-0.52	18	5.72808	1AVZ	2.93147602	76.6751274
1AY7	884.824	-1387.59	9.5	8	5565.9	4953.4	9.698970004	1AY7	-162.837	1AY7	-9.00	7.16	-16.50	-6.11	19	6.16193	1AY7	9.18193398	111.922653
1B6C	1286.58	-2150.28	22	2	6039.2	15787.7	6.552841969	1B6C	-193.497	1B6C	-50.17	6.25	-77.99	-40.64	13	4.0178	1B6C	-5.81415901	98.3590881
1BJ1	1671.53	-2254.41	20.5	11	19820.9	10978.3	8.468521083	1BJ1	-287.974	1BJ1	-12.98	23.32	-24.17	-4.61	29	9.1266	1BJ1	-4.04253608	97.6541732
1BRS	1201.73	-1797.76	11	16	5966.3	4920.2	12.69897	1BRS	-221.416	1BRS	-6.63	10.19	-13.68	-3.37	29	9.2486	1BRS	11.7258096	132.87177
1BUH	806.823	-1573.31	10	6	14404.9	4814.7	7.113509275	1BUH	-148.240	1BUH	-5.19	7.12	-11.54	-3.20	10	3.21264	1BUH	2.4708679	77.500847
1BVK	835.503	-1729.44	14.5	13	10576.8	6654.0	7.853871964	1BVK	-144.724	1BVK	-5.82	17.79	-12.12	-0.05	23	7.41426	1BVK	8.87156042	130.573918
1BVN	1684.93	-2803.52	16	10	18182.4	4371.4	11.03621217	1BVN	-234.953	1BVN	3.01	13.60	-0.25	5.45	25	8.20643	1BVN	-8.88357409	173.840347
1CBW	1118.94	-1697.89	18.5	10	10459.8	3941.1	7.958607315	1CBW	-224.304	1CBW	2.46	13.48	-0.13	5.27	23	7.50292	1CBW	-7.78569779	64.1377465
1DE4	1288.14	-3749.63	19	10	19064.3	47317.5	7.167491087	1DE4	-190.412	1DE4	-226.42	10.76	-338.20	-184.62	31	9.72748	1DE4	4.83200047	172.838325
1DFJ	1028.18	-3122.95	10.5	12	7053.5	19311.7	13.22914799	1DFJ	-176.705	1DFJ	-73.09	-4.48	-111.36	-62.98	19	6.13672	1DFJ	17.4417637	252.694417
1DQJ	1147.29	-2442.49	19	12	19169.6	6578.5	8.552841969	1DQJ	-215.036	1DQJ	-3.25	19.40	-9.67	2.16	29	9.64678	1DQJ	14.541454	184.588047
1E4K	1077.34	-1817.69	8.5	8	24602.7	9820.9	5.769551079	1E4K	-152.422	1E4K	-15.98	15.56	-26.76	-9.06	31	9.8783	1E4K	0.257571545	70.3389729
1E6E	955.903	-2499.9	15.5	14	20550.8	6472.6	6.067526235	1E6E	-155.887	1E6E	-10.56	6.31	-19.10	-7.79	31	10.5239	1E6E	20.6734377	194.625439
1E6J	971.509	-1533.08	9	9	20280.6	13532.1	7.537602002	1E6J	-160.460	1E6J	-29.11	6.53	-45.90	-22.83	15	4.85691	1E6J	-5.24113797	87.3413979
1E96	681.425	-1560.09	13	10	9054.1	10105.4	5.568636236	1E96	-152.651	1E96	-27.78	11.38	-43.88	-20.09	14	4.64925	1E96	0.625534594	76.5190884
1EAW	1313.59	-2146.38	24.5	11	10800.9	3921.5	10.30364361	1EAW	-255.567	1EAW	4.15	14.91	1.85	6.97	38	12.3534	1EAW	3.99313644	102.012554
1EER	1991.21	-4069.36	27.5	27	9788.7	23132.5	11.43179828	1EER	-345.490	1EER	-53.54	26.47	-85.05	-37.37	46	14.9013	1EER	7.12567478	242.204709
1EFN	1150.5	-1219.68	20.5	8	3554.2	6227.1	7.420216403	1EFN	-163.092	1EFN	-9.89	12.02	-18.67	-5.52	23	7.26687	1EFN	-0.562961909	72.756695
1EMV	1171.95	-1568.4	21	12	5410.4	7600.5	13.61978876	1EMV	-183.562	1EMV	-15.21	1.63	-26.72	-13.43	18	5.87653	1EMV	3.52124308	100.984521
1EWY	427.759	-1876.24	8	6	15659.2	5455.1	5.447331784	1EWY	-77.138	1EWY	-9.22	5.57	-16.61	-6.76	21	7.07891	1EWY	6.71110312	143.160735
1EZU	1971.15	-3289.04	25	12	9629.8	16954.5	10.09691001	1EZU	-355.842	1EZU	-31.66	24.03	-51.53	-19.72	27	8.51334	1EZU	-3.45529697	141.311328
